gas,brake,steer_angle,speed_kmh,g_lat,g_lon,world_x,world_z,norm_pos,lap_time_ms,completed_laps,timestamp_ms
1.0,0.0,0.011209161020815372,188.7443084716797,-0.3214510679244995,0.5793794393539429,542.3529052734375,233.2760009765625,0.9249285459518433,80667,1,1779057438741
1.0,0.0,0.011170616373419762,189.10952758789062,-0.3268269896507263,0.5703125596046448,541.6026000976562,233.51467895507812,0.9251121878623962,80682,1,1779057438758
1.0,0.0,0.011132958345115185,189.46420288085938,-0.32443782687187195,0.5501136183738708,540.7003173828125,233.80067443847656,0.9253328442573547,80700,1,1779057438775
1.0,0.0,0.011762039735913277,189.8148193359375,-0.33151987195014954,0.5573925375938416,539.7960815429688,234.08621215820312,0.9255538582801819,80718,1,1779057438792
1.0,0.0,0.012467930093407631,190.1102294921875,-0.34748053550720215,0.5590155720710754,538.8898315429688,234.37127685546875,0.9257758259773254,80736,1,1779057438809
1.0,0.0,0.01276896707713604,190.46705627441406,-0.3650154769420624,0.5647343397140503,538.1331176757812,234.60841369628906,0.9259604811668396,80751,1,1779057438826
1.0,0.0,0.013369942083954811,190.82470703125,-0.37923765182495117,0.5616565942764282,537.22314453125,234.8924560546875,0.9261829853057861,80769,1,1779057438844
1.0,0.0,0.013359557837247849,191.1220703125,-0.38516750931739807,0.563154935836792,536.3110961914062,235.1758575439453,0.9264051914215088,80787,1,1779057438861
1.0,0.0,0.01433543674647808,191.4817352294922,-0.399532675743103,0.5690473318099976,535.3969116210938,235.45860290527344,0.9266279339790344,80805,1,1779057438878
1.0,0.0,0.014967747032642365,191.83877563476562,-0.41379275918006897,0.5605734586715698,534.633544921875,235.6936798095703,0.9268144369125366,80820,1,1779057438895
1.0,0.0,0.015251721255481243,192.13482666015625,-0.41481611132621765,0.5608817338943481,533.715576171875,235.97509765625,0.9270390868186951,80838,1,1779057438912
1.0,0.0,0.015242375433444977,192.4872283935547,-0.4165360629558563,0.5535441637039185,532.7955322265625,236.25575256347656,0.9272629022598267,80856,1,1779057438929
1.0,0.0,0.015192064456641674,192.8392333984375,-0.42017242312431335,0.5542631149291992,531.8734130859375,236.53565979003906,0.9274879693984985,80874,1,1779057438946
1.0,0.0,0.015148978680372238,193.1287078857422,-0.4252196252346039,0.5453065633773804,531.1033935546875,236.768310546875,0.9276746511459351,80889,1,1779057438963
1.0,0.0,0.01509729865938425,193.47802734375,-0.4392983019351959,0.5575019121170044,530.177490234375,237.04673767089844,0.9279006719589233,80907,1,1779057438980
1.0,0.0,0.015045254491269588,193.82684326171875,-0.4371620714664459,0.5406612157821655,529.404296875,237.2781219482422,0.9280892014503479,80922,1,1779057438997
1.0,0.0,0.015002022497355938,194.120361328125,-0.4388594329357147,0.5663221478462219,528.474609375,237.55502319335938,0.9283156991004944,80940,1,1779057439014
1.0,0.0,0.014949284493923187,194.47401428222656,-0.4487609267234802,0.5433484315872192,527.6982421875,237.7851104736328,0.9285044074058533,80955,1,1779057439031
1.0,0.0,0.014897444285452366,194.82369995117188,-0.43480658531188965,0.5516749024391174,526.7647094726562,238.06045532226562,0.928730309009552,80973,1,1779057439048
1.0,0.0,0.014854511246085167,195.11155700683594,-0.4523673355579376,0.5407297611236572,525.9852294921875,238.2892608642578,0.9289200901985168,80988,1,1779057439065
1.0,0.0,0.014803043566644192,195.4593963623047,-0.47324448823928833,0.5486376285552979,524.8914794921875,238.60850524902344,0.9291867017745972,81009,1,1779057439082
1.0,0.0,0.0147533705458045,195.78977966308594,-0.47155681252479553,0.5281552076339722,524.1085815429688,238.83575439453125,0.9293761849403381,81024,1,1779057439099
1.0,0.0,0.014710940420627594,196.07992553710938,-0.49525749683380127,0.5596842765808105,523.32421875,239.06231689453125,0.9295673966407776,81039,1,1779057439116
1.0,0.0,0.01465865783393383,196.43260192871094,-0.5164604187011719,0.5554955005645752,522.3810424804688,239.33322143554688,0.9297959804534912,81057,1,1779057439133
1.0,0.0,0.014606531709432602,196.78396606445312,-0.5181044340133667,0.5608359575271606,521.4357299804688,239.60302734375,0.9300246834754944,81075,1,1779057439150
1.0,0.0,0.013063137419521809,197.07708740234375,-0.5070697069168091,0.5542508959770203,520.6463623046875,239.82704162597656,0.9302165508270264,81090,1,1779057439167
1.0,0.0,0.01049095205962658,197.42587280273438,-0.48833200335502625,0.5452812314033508,519.5386962890625,240.13938903808594,0.9304854869842529,81111,1,1779057439184
1.0,0.0,0.008511868305504322,197.7658233642578,-0.4488289952278137,0.5254890322685242,518.7457885742188,240.3616485595703,0.9306774735450745,81126,1,1779057439202
1.0,0.0,0.006924759596586227,198.04286193847656,-0.4180840253829956,0.5298435688018799,517.79248046875,240.6275177001953,0.930908203125,81144,1,1779057439218
1.0,0.0,0.0038622976280748844,198.3865966796875,-0.3948812782764435,0.5516954660415649,516.9965209960938,240.84844970703125,0.9311007857322693,81159,1,1779057439235
1.0,0.0,0.002247260417789221,198.73001098632812,-0.35730957984924316,0.5351841449737549,516.03955078125,241.11289978027344,0.9313318133354187,81177,1,1779057439252
1.0,0.0,0.0014580241404473782,199.0692138671875,-0.32570263743400574,0.5406153798103333,515.0806884765625,241.37672424316406,0.931564211845398,81195,1,1779057439269
1.0,0.0,0.0008734462317079306,199.3572998046875,-0.303265243768692,0.5462202429771423,514.1198120117188,241.63999938964844,0.9317968487739563,81213,1,1779057439286
1.0,0.0,9.843735460890457e-05,199.7034912109375,-0.2694263756275177,0.545604944229126,513.3176879882812,241.85906982421875,0.9319904446601868,81228,1,1779057439303
1.0,0.0,4.296768565836828e-06,200.0474090576172,-0.23425593972206116,0.5315635800361633,512.3533935546875,242.12161254882812,0.9322237968444824,81246,1,1779057439321
1.0,0.0,-9.089735613088124e-06,200.32595825195312,-0.20543453097343445,0.5286645889282227,511.54840087890625,242.34019470214844,0.9324184656143188,81261,1,1779057439338
1.0,0.0,-7.08758443579427e-06,200.66317749023438,-0.18088728189468384,0.53116375207901,510.5807800292969,242.6023406982422,0.932652473449707,81279,1,1779057439355
1.0,0.0,-3.144501761198626e-07,200.9986114501953,-0.15777422487735748,0.5232070684432983,509.61138916015625,242.8643798828125,0.9328862428665161,81297,1,1779057439372
1.0,0.0,-2.3447499941653405e-08,201.27529907226562,-0.14084337651729584,0.5245923399925232,508.6402893066406,243.12637329101562,0.9331212043762207,81315,1,1779057439389
1.0,0.0,-1.0402798622521914e-09,201.61219787597656,-0.12334338575601578,0.5387831926345825,507.6674499511719,243.38839721679688,0.9333566427230835,81333,1,1779057439406
1.0,0.0,-4.615341442359977e-11,201.95578002929688,-0.10789293795824051,0.5398365259170532,506.85540771484375,243.6068115234375,0.9335519075393677,81348,1,1779057439423
1.0,0.0,-3.4415057609260558e-12,202.23785400390625,-0.09098495543003082,0.530777096748352,505.8793640136719,243.8690185546875,0.9337877035140991,81366,1,1779057439440
1.0,0.0,-1.5268702643379817e-13,202.5733184814453,-0.07539084553718567,0.5211206674575806,505.0647277832031,244.08766174316406,0.9339843392372131,81381,1,1779057439457
1.0,0.0,-6.77416505390758e-15,202.9016571044922,-0.05287867784500122,0.5155903100967407,504.08563232421875,244.3502197265625,0.9342215061187744,81399,1,1779057439474
1.0,0.0,-7.169251148297917e-06,203.1767578125,-0.03935914486646652,0.5225161910057068,503.2684631347656,244.56922912597656,0.9344190955162048,81414,1,1779057439491
1.0,0.0,-4.9657770432531834e-05,203.50921630859375,-0.02729756198823452,0.5261107087135315,502.286376953125,244.83233642578125,0.9346555471420288,81432,1,1779057439508
1.0,0.0,-3.517549339449033e-05,203.84474182128906,-0.018368398770689964,0.5287578105926514,501.3026428222656,245.0957794189453,0.9348933696746826,81450,1,1779057439527
1.0,0.0,-1.5760698488520575e-06,204.1792755126953,-0.01138523779809475,0.5266773700714111,500.3172607421875,245.35960388183594,0.935131311416626,81468,1,1779057439544
1.0,0.0,-6.99244537827326e-08,204.51043701171875,-0.005719869863241911,0.5172824263572693,499.33026123046875,245.6238250732422,0.9353697299957275,81486,1,1779057439561
1.0,0.0,-5.2140327611027715e-09,204.78125,-0.004933321848511696,0.5092371702194214,498.5065612792969,245.8443145751953,0.9355690479278564,81501,1,1779057439578
1.0,0.0,-2.3132756821198086e-10,205.10488891601562,0.0009661656804382801,0.5126739144325256,497.51666259765625,246.10926818847656,0.9358083009719849,81519,1,1779057439595
1.0,0.0,-1.0263158378709392e-11,205.4341583251953,0.006037922576069832,0.5184078216552734,496.52520751953125,246.37464904785156,0.9360478520393372,81537,1,1779057439612
1.0,0.0,-7.652894702496471e-13,205.7067108154297,0.006646265741437674,0.5128871202468872,495.69775390625,246.5961151123047,0.9362472295761108,81552,1,1779057439629
1.0,0.0,-2.1799909518449567e-05,206.0326385498047,0.010390988551080227,0.517648458480835,494.5374755859375,246.90670776367188,0.9365272521972656,81573,1,1779057439646
1.0,0.0,-0.0016801246674731374,206.36387634277344,0.012667885981500149,0.5227646827697754,493.7073974609375,247.12892150878906,0.9367279410362244,81588,1,1779057439664
1.0,0.0,-0.003342706011608243,206.6925811767578,0.03183584660291672,0.5069931149482727,492.7098693847656,247.39602661132812,0.9369685053825378,81606,1,1779057439681
1.0,0.0,-0.0034422597382217646,206.95248413085938,0.042242638766765594,0.48230889439582825,491.8774108886719,247.6190185546875,0.9371690154075623,81621,1,1779057439698
1.0,0.0,-0.0012207108084112406,207.25892639160156,0.037237729877233505,0.4849824011325836,490.8771667480469,247.88710021972656,0.9374107122421265,81639,1,1779057439715
1.0,0.0,-5.666034485329874e-05,207.57391357421875,0.011917505413293839,0.49829769134521484,490.0425109863281,248.1108856201172,0.9376122951507568,81654,1,1779057439732
1.0,0.0,-4.224973054078873e-06,207.8400115966797,0.005334049928933382,0.5032970905303955,489.0395202636719,248.37985229492188,0.9378546476364136,81672,1,1779057439749
1.0,0.0,-1.8744661645087035e-07,208.15965270996094,0.0022824122570455074,0.5048864483833313,488.0350036621094,248.64926147460938,0.9380972385406494,81690,1,1779057439766
1.0,0.0,-8.316320965207069e-09,208.486328125,0.0012459905119612813,0.5170614123344421,487.0289611816406,248.91909790039062,0.9383405447006226,81708,1,1779057439783
1.0,0.0,-6.201201774302945e-10,208.75782775878906,0.0005194928962737322,0.5057334303855896,486.1893615722656,249.144287109375,0.9385430216789246,81723,1,1779057439800
1.0,0.0,-2.7512466263535096e-11,209.0697784423828,0.006946668494492769,0.4809393584728241,485.1804504394531,249.41490173339844,0.9387866854667664,81741,1,1779057439817
1.0,0.0,-1.2206274402695727e-12,209.14630126953125,0.009969831444323063,-0.2332441508769989,484.17047119140625,249.68585205078125,0.9390307068824768,81759,1,1779057439834
